season_id,week,guest,home,guest_starters_score,home_starters_score,type,end_type,guest_bench_score,home_bench_score,win_type,home_advantage
2025,1,PIR,GAN,26,34,SEASON,REGULAR,\N,\N,HOME,Y
2025,1,GT,CHA,22,33,SEASON,REGULAR,\N,\N,HOME,Y
2025,1,BRO,PAT,35,31,SEASON,REGULAR,\N,\N,GUEST,Y
2025,1,GUE,ARR,33,49,SEASON,REGULAR,\N,\N,HOME,Y
2025,1,HAM,TRO,33,36,SEASON,REGULAR,\N,\N,HOME,Y
2025,1,VIL,COL,42,33,SEASON,REGULAR,\N,\N,GUEST,Y
2025,1,GOA,SKY,43,38,SEASON,REGULAR,\N,\N,GUEST,Y
2025,1,TIZ,SAL,48,38,SEASON,REGULAR,\N,\N,GUEST,Y
2025,2,PAT,GOA,48,28,SEASON,REGULAR,\N,\N,GUEST,Y
2025,2,TIZ,COL,51,35,SEASON,REGULAR,\N,\N,GUEST,Y
2025,2,PIR,ARR,20,38,SEASON,REGULAR,\N,\N,HOME,Y
2025,2,VIL,GAN,19,53,SEASON,REGULAR,\N,\N,HOME,Y
2025,2,CHA,TRO,33,53,SEASON,REGULAR,\N,\N,HOME,Y
2025,2,GUE,GT,28,35,SEASON,REGULAR,\N,\N,HOME,Y
2025,2,HAM,BRO,22,28,SEASON,REGULAR,\N,\N,HOME,Y
2025,2,SAL,SKY,53,44,SEASON,REGULAR,\N,\N,GUEST,Y
2025,3,GT,PIR,17,40,SEASON,REGULAR,\N,\N,HOME,Y
2025,3,GOA,BRO,29,33,SEASON,REGULAR,\N,\N,HOME,Y
2025,3,SAL,CHA,38,47,SEASON,REGULAR,\N,\N,HOME,Y
2025,3,TRO,COL,47,50,SEASON,REGULAR,\N,\N,HOME,Y
2025,3,HAM,VIL,24,34,SEASON,REGULAR,\N,\N,HOME,Y
2025,3,TIZ,GUE,39,21,SEASON,REGULAR,\N,\N,GUEST,Y
2025,3,GAN,ARR,34,40,SEASON,REGULAR,\N,\N,HOME,Y
2025,3,SKY,PAT,25,42,SEASON,REGULAR,\N,\N,HOME,Y
2025,4,VIL,GUE,41,45,SEASON,REGULAR,\N,\N,HOME,Y
2025,4,SKY,TIZ,30,50,SEASON,REGULAR,\N,\N,HOME,Y
2025,4,PAT,GAN,61,33,SEASON,REGULAR,\N,\N,GUEST,Y
2025,4,CHA,BRO,40,41,SEASON,REGULAR,\N,\N,HOME,Y
2025,4,GOA,GT,27,24,SEASON,REGULAR,\N,\N,GUEST,Y
2025,4,ARR,HAM,43,29,SEASON,REGULAR,\N,\N,GUEST,Y
2025,4,TRO,PIR,26,27,SEASON,REGULAR,\N,\N,HOME,Y
