season_id,week,guest,home,guest_starters_score,home_starters_score,type,end_type,guest_bench_score,home_bench_score,win_type,home_advantage
2024,1,ARR,VIL,28,48,SEASON,REGULAR,\N,\N,HOME,Y
2024,1,COL,SKY,36,37,SEASON,REGULAR,\N,\N,HOME,Y
2024,1,PIR,PAT,44,21,SEASON,REGULAR,\N,\N,GUEST,Y
2024,1,GAN,BRO,52,28,SEASON,REGULAR,\N,\N,GUEST,Y
2024,1,GT,SAL,37,26,SEASON,REGULAR,\N,\N,GUEST,Y
2024,1,HAM,GUE,39,42,SEASON,REGULAR,\N,\N,HOME,Y
2024,1,CHA,TIZ,46,36,SEASON,REGULAR,\N,\N,GUEST,Y
2024,1,TRO,GOA,60,49,SEASON,REGULAR,\N,\N,GUEST,Y
2024,2,SAL,PAT,37,32,SEASON,REGULAR,\N,\N,GUEST,Y
2024,2,VIL,ARR,32,41,SEASON,REGULAR,\N,\N,HOME,Y
2024,2,GOA,GAN,31,54,SEASON,REGULAR,\N,\N,HOME,Y
2024,2,BRO,GT,31,46,SEASON,REGULAR,\N,\N,HOME,Y
2024,2,TRO,HAM,57,36,SEASON,REGULAR,\N,\N,GUEST,Y
2024,2,GUE,COL,38,40,SEASON,REGULAR,\N,\N,HOME,Y
2024,2,TIZ,PIR,18,28,SEASON,REGULAR,\N,\N,HOME,Y
2024,2,SKY,CHA,45,33,SEASON,REGULAR,\N,\N,GUEST,Y
2024,3,SAL,GAN,32,39,SEASON,REGULAR,\N,\N,HOME,Y
2024,3,BRO,CHA,36,40,SEASON,REGULAR,\N,\N,HOME,Y
2024,3,PAT,GT,32,40,SEASON,REGULAR,\N,\N,HOME,Y
2024,3,TIZ,TRO,37,52,SEASON,REGULAR,\N,\N,HOME,Y
2024,3,COL,VIL,39,47,SEASON,REGULAR,\N,\N,HOME,Y
2024,3,SKY,ARR,30,46,SEASON,REGULAR,\N,\N,HOME,Y
2024,3,PIR,HAM,46,51,SEASON,REGULAR,\N,\N,HOME,Y
2024,3,GOA,GUE,22,19,SEASON,REGULAR,\N,\N,GUEST,Y
2024,4,PIR,GAN,30,42,SEASON,REGULAR,\N,\N,HOME,Y
2024,4,CHA,GT,27,50,SEASON,REGULAR,\N,\N,HOME,Y
2024,4,BRO,GOA,40,39,SEASON,REGULAR,\N,\N,GUEST,Y
2024,4,PAT,SAL,28,31,SEASON,REGULAR,\N,\N,HOME,Y
2024,4,TRO,GUE,41,43,SEASON,REGULAR,\N,\N,HOME,Y
2024,4,SKY,HAM,34,29,SEASON,REGULAR,\N,\N,GUEST,Y
2024,4,TIZ,VIL,32,33,SEASON,REGULAR,\N,\N,HOME,Y
2024,4,ARR,COL,45,41,SEASON,REGULAR,\N,\N,GUEST,Y
2024,5,GAN,GT,48,51,SEASON,REGULAR,\N,\N,HOME,Y
2024,5,TIZ,SKY,41,36,SEASON,REGULAR,\N,\N,GUEST,Y
2024,5,CHA,GOA,14,51,SEASON,REGULAR,\N,\N,HOME,Y
2024,5,HAM,ARR,40,33,SEASON,REGULAR,\N,\N,GUEST,Y
2024,5,COL,PIR,25,35,SEASON,REGULAR,\N,\N,HOME,Y
2024,5,PAT,VIL,34,44,SEASON,REGULAR,\N,\N,HOME,Y
2024,5,BRO,TRO,55,27,SEASON,REGULAR,\N,\N,GUEST,Y
2024,5,SAL,GUE,54,38,SEASON,REGULAR,\N,\N,GUEST,Y
2024,6,SAL,BRO,20,27,SEASON,REGULAR,\N,\N,HOME,Y
2024,6,ARR,TRO,32,45,SEASON,REGULAR,\N,\N,HOME,Y
2024,6,VIL,GUE,30,46,SEASON,REGULAR,\N,\N,HOME,Y
2024,6,HAM,TIZ,38,39,SEASON,REGULAR,\N,\N,HOME,Y
2024,6,GOA,PIR,31,36,SEASON,REGULAR,\N,\N,HOME,Y
2024,6,PAT,CHA,55,28,SEASON,REGULAR,\N,\N,GUEST,Y
2024,6,GAN,SKY,37,24,SEASON,REGULAR,\N,\N,GUEST,Y
