season_id,week,guest,home,guest_starters_score,home_starters_score,type,end_type,guest_bench_score,home_bench_score,win_type,home_advantage
2021,1,GAN,CHA,35,51,SEASON,REGULAR,,,HOME,Y
2021,1,VIL,TRO,49,40,SEASON,REGULAR,,,GUEST,Y
2021,1,ARR,SKY,48,50,SEASON,REGULAR,,,HOME,Y
2021,1,PD,TIZ,56,35,SEASON,REGULAR,,,GUEST,Y
2021,1,PIR,SAL,27,57,SEASON,REGULAR,,,HOME,Y
2021,1,GT,BRO,44,54,SEASON,REGULAR,,,HOME,Y
2021,1,CAF,PAT,40,45,SEASON,REGULAR,,,HOME,Y
2021,1,COL,GOA,22,41,SEASON,REGULAR,,,HOME,Y
2021,2,GOA,SAL,39,69,SEASON,REGULAR,,,HOME,Y
2021,2,ARR,VIL,49,60,SEASON,REGULAR,,,HOME,Y
2021,2,COL,TIZ,37,24,SEASON,REGULAR,,,GUEST,Y
2021,2,CAF,PD,37,66,SEASON,REGULAR,,,HOME,Y
2021,2,PAT,GAN,28,51,SEASON,REGULAR,,,HOME,Y
2021,2,CHA,BRO,37,48,SEASON,REGULAR,,,HOME,Y
2021,2,PIR,SKY,28,50,SEASON,REGULAR,,,HOME,Y
2021,2,GT,TRO,49,53,SEASON,REGULAR,,,HOME,Y
2021,3,PIR,GAN,47,57,SEASON,REGULAR,,,HOME,Y
2021,3,GOA,BRO,45,47,SEASON,REGULAR,,,HOME,Y
2021,3,CAF,VIL,38,49,SEASON,REGULAR,,,HOME,Y
2021,3,COL,SKY,35,64,SEASON,REGULAR,,,HOME,Y
2021,3,CHA,TRO,55,36,SEASON,REGULAR,,,GUEST,Y
2021,3,ARR,GT,31,35,SEASON,REGULAR,,,HOME,Y
2021,3,PAT,TIZ,50,26,SEASON,REGULAR,,,GUEST,Y
2021,3,SAL,PD,44,44,SEASON,BENCH,21,22,HOME,Y
2021,4,TRO,SKY,45,33,SEASON,REGULAR,,,GUEST,Y
2021,4,TIZ,CAF,35,56,SEASON,REGULAR,,,HOME,Y
2021,4,BRO,PIR,34,40,SEASON,REGULAR,,,HOME,Y
2021,4,SAL,CHA,49,43,SEASON,REGULAR,,,GUEST,Y
2021,4,GT,PAT,46,46,SEASON,BENCH,25,4,GUEST,Y
2021,4,COL,ARR,37,29,SEASON,REGULAR,,,GUEST,Y
2021,4,VIL,GAN,39,42,SEASON,REGULAR,,,HOME,Y
2021,4,GOA,PD,53,28,SEASON,REGULAR,,,GUEST,Y
2021,5,CHA,PIR,62,42,SEASON,REGULAR,,,GUEST,Y
2021,5,GT,GAN,42,26,SEASON,REGULAR,,,GUEST,Y
2021,5,BRO,GOA,41,74,SEASON,REGULAR,,,HOME,Y
2021,5,PAT,SAL,69,49,SEASON,REGULAR,,,GUEST,Y
2021,5,TRO,COL,41,38,SEASON,REGULAR,,,GUEST,Y
2021,5,PD,VIL,49,71,SEASON,REGULAR,,,HOME,Y
2021,5,TIZ,ARR,36,38,SEASON,REGULAR,,,HOME,Y
2021,5,SKY,CAF,39,40,SEASON,REGULAR,,,HOME,Y
2021,6,SAL,BRO,29,41,SEASON,REGULAR,,,HOME,Y
2021,6,VIL,ARR,37,39,SEASON,REGULAR,,,HOME,Y
2021,6,TIZ,PD,30,50,SEASON,REGULAR,,,HOME,Y
2021,6,COL,CAF,32,42,SEASON,REGULAR,,,HOME,Y
2021,6,CHA,PAT,44,41,SEASON,REGULAR,,,GUEST,Y
2021,6,GOA,GT,58,40,SEASON,REGULAR,,,GUEST,Y
2021,6,TRO,PIR,49,36,SEASON,REGULAR,,,GUEST,Y
2021,6,GAN,SKY,31,63,SEASON,REGULAR,,,HOME,Y
2021,7,PAT,GOA,22,36,SEASON,REGULAR,,,HOME,Y
2021,7,PD,COL,40,26,SEASON,REGULAR,,,GUEST,Y
2021,7,BRO,GAN,18,43,SEASON,REGULAR,,,HOME,Y
2021,7,TRO,TIZ,48,22,SEASON,REGULAR,,,GUEST,Y
2021,7,VIL,PIR,54,42,SEASON,REGULAR,,,GUEST,Y
2021,7,ARR,CHA,55,50,SEASON,REGULAR,,,GUEST,Y
2021,7,SKY,GT,50,30,SEASON,REGULAR,,,GUEST,Y
2021,7,SAL,CAF,21,29,SEASON,REGULAR,,,HOME,Y
2021,8,CHA,GT,38,28,SEASON,REGULAR,,,GUEST,Y
2021,8,SKY,TRO,36,45,SEASON,REGULAR,,,HOME,Y
2021,8,PAT,PIR,40,50,SEASON,REGULAR,,,HOME,Y
2021,8,GAN,GOA,36,55,SEASON,REGULAR,,,HOME,Y
2021,8,VIL,TIZ,21,29,SEASON,REGULAR,,,HOME,Y
2021,8,ARR,PD,46,28,SEASON,REGULAR,,,GUEST,Y
2021,8,CAF,BRO,16,32,SEASON,REGULAR,,,HOME,Y
2021,8,COL,SAL,52,18,SEASON,REGULAR,,,GUEST,Y
2021,9,PIR,GOA,45,48,SEASON,REGULAR,,,HOME,Y
2021,9,CAF,TRO,24,25,SEASON,REGULAR,,,HOME,Y
2021,9,GAN,ARR,32,54,SEASON,REGULAR,,,HOME,Y
2021,9,SKY,CHA,35,23,SEASON,REGULAR,,,GUEST,Y
