season_id,week,guest,home,guest_starters_score,home_starters_score,type,end_type,guest_bench_score,home_bench_score,win_type
2019,9,VIL,TRO,36,50,SEASON,REGULAR,,,HOME
2019,9,ARR,SKY,45,50,SEASON,REGULAR,,,HOME
2019,9,TIZ,COL,44,26,SEASON,REGULAR,,,GUEST
2019,9,CAF,PD,35,28,SEASON,REGULAR,,,GUEST
2019,10,VIL,GT,44,37,SEASON,REGULAR,,,GUEST
2019,10,SKY,GAN,49,33,SEASON,REGULAR,,,GUEST
2019,10,TRO,CHA,55,25,SEASON,REGULAR,,,GUEST
2019,10,ARR,PIR,71,24,SEASON,REGULAR,,,GUEST
2019,10,TIZ,BRO,46,21,SEASON,REGULAR,,,GUEST
2019,10,PD,GOA,31,52,SEASON,REGULAR,,,HOME
2019,10,COL,PAT,40,24,SEASON,REGULAR,,,GUEST
2019,10,CAF,SAL,7,40,SEASON,REGULAR,,,HOME
2019,11,GT,PAT,27,35,SEASON,REGULAR,,,HOME
2019,11,GAN,SAL,38,33,SEASON,REGULAR,,,GUEST
2019,11,CHA,BRO,28,33,SEASON,REGULAR,,,HOME
2019,11,PIR,GOA,26,56,SEASON,REGULAR,,,HOME
2019,11,TRO,TIZ,32,31,SEASON,REGULAR,,,GUEST
2019,11,ARR,PD,40,38,SEASON,REGULAR,,,GUEST
2019,11,VIL,COL,35,22,SEASON,REGULAR,,,GUEST
2019,11,SKY,CAF,55,21,SEASON,REGULAR,,,GUEST
2019,12,CHA,GAN,29,56,SEASON,REGULAR,,,HOME
2019,12,PIR,GT,45,46,SEASON,REGULAR,,,HOME
2019,12,BRO,PAT,30,44,SEASON,REGULAR,,,HOME
2019,12,SAL,GOA,40,44,SEASON,REGULAR,,,HOME
2019,12,ARR,VIL,58,51,SEASON,REGULAR,,,GUEST
2019,12,SKY,TRO,13,49,SEASON,REGULAR,,,HOME
2019,12,CAF,TIZ,25,35,SEASON,REGULAR,,,HOME
2019,12,PD,COL,35,26,SEASON,REGULAR,,,GUEST
2019,13,CHA,PIR,31,25,SEASON,REGULAR,,,GUEST
2019,13,GAN,GT,48,42,SEASON,REGULAR,,,GUEST
2019,13,PAT,SAL,47,62,SEASON,REGULAR,,,HOME
2019,13,BRO,GOA,31,37,SEASON,REGULAR,,,HOME
2019,13,VIL,SKY,25,51,SEASON,REGULAR,,,HOME
2019,13,TRO,ARR,35,43,SEASON,REGULAR,,,HOME
2019,13,TIZ,PD,42,34,SEASON,REGULAR,,,GUEST
2019,13,COL,CAF,41,49,SEASON,REGULAR,,,HOME
2019,14,GT,CHA,36,40,SEASON,REGULAR,,,HOME
2019,14,PIR,GAN,48,54,SEASON,REGULAR,,,HOME
2019,14,PAT,GOA,39,41,SEASON,REGULAR,,,HOME
2019,14,SAL,BRO,59,42,SEASON,REGULAR,,,GUEST
2019,14,TRO,VIL,45,48,SEASON,REGULAR,,,HOME
2019,14,SKY,ARR,45,45,SEASON,BENCH,21,20,GUEST
2019,14,COL,TIZ,42,47,SEASON,REGULAR,,,HOME
2019,14,PD,CAF,24,29,SEASON,REGULAR,,,HOME
2019,15,SKY,TIZ,31,57,DIVISIONAL,REGULAR,,,HOME
2019,15,VIL,TRO,54,38,DIVISIONAL,REGULAR,,,GUEST
