2022,1,CHA,GAN,53,61,SEASON,REGULAR,\N,\N,HOME,Y
2022,1,BRO,GOA,67,30,SEASON,REGULAR,\N,\N,GUEST,Y
2022,1,GUE,ARR,44,47,SEASON,REGULAR,\N,\N,HOME,Y
2022,1,COL,SKY,37,42,SEASON,REGULAR,\N,\N,HOME,Y
2022,1,PIR,PAT,32,30,SEASON,REGULAR,\N,\N,GUEST,Y
2022,1,VIL,HAM,31,49,SEASON,REGULAR,\N,\N,HOME,Y
2022,1,TIZ,GT,38,41,SEASON,REGULAR,\N,\N,HOME,Y
2022,1,SAL,TRO,26,32,SEASON,REGULAR,\N,\N,HOME,Y
2022,2,GT,CHA,21,37,SEASON,REGULAR,\N,\N,HOME,Y
2022,2,PAT,BRO,36,41,SEASON,REGULAR,\N,\N,HOME,Y
2022,2,TRO,HAM,43,68,SEASON,REGULAR,\N,\N,HOME,Y
2022,2,GUE,TIZ,38,41,SEASON,REGULAR,\N,\N,HOME,Y
2022,2,PIR,COL,47,41,SEASON,REGULAR,\N,\N,GUEST,Y
2022,2,SKY,GAN,30,46,SEASON,REGULAR,\N,\N,HOME,Y
2022,2,ARR,GOA,41,40,SEASON,REGULAR,\N,\N,GUEST,Y
2022,2,SAL,VIL,22,48,SEASON,REGULAR,\N,\N,HOME,Y
2022,3,PIR,GAN,44,38,SEASON,REGULAR,\N,\N,GUEST,Y
2022,3,SAL,GOA,19,33,SEASON,REGULAR,\N,\N,HOME,Y
2022,3,VIL,ARR,37,37,SEASON,BENCH,22,26,HOME,Y
2022,3,SKY,TIZ,22,46,SEASON,REGULAR,\N,\N,HOME,Y
2022,3,PAT,GT,50,41,SEASON,REGULAR,\N,\N,GUEST,Y
2022,3,GUE,COL,42,44,SEASON,REGULAR,\N,\N,HOME,Y
2022,3,CHA,HAM,31,30,SEASON,REGULAR,\N,\N,GUEST,Y
2022,3,TRO,BRO,25,45,SEASON,REGULAR,\N,\N,HOME,Y
2022,4,PIR,GT,44,35,SEASON,REGULAR,\N,\N,GUEST,Y
2022,4,PAT,GOA,42,38,SEASON,REGULAR,\N,\N,GUEST,Y
2022,4,CHA,SAL,39,31,SEASON,REGULAR,\N,\N,GUEST,Y
2022,4,TIZ,TRO,31,47,SEASON,REGULAR,\N,\N,HOME,Y
2022,4,COL,VIL,46,58,SEASON,REGULAR,\N,\N,HOME,Y
2022,4,SKY,GUE,34,40,SEASON,REGULAR,\N,\N,HOME,Y
2022,4,HAM,GAN,29,36,SEASON,REGULAR,\N,\N,HOME,Y
2022,4,BRO,ARR,39,34,SEASON,REGULAR,\N,\N,GUEST,Y
2022,5,GT,PIR,31,27,SEASON,REGULAR,\N,\N,GUEST,Y
2022,5,GOA,BRO,48,52,SEASON,REGULAR,\N,\N,HOME,Y
2022,5,TRO,GUE,51,41,SEASON,REGULAR,\N,\N,GUEST,Y
2022,5,COL,HAM,39,31,SEASON,REGULAR,\N,\N,GUEST,Y
2022,5,GAN,PAT,53,44,SEASON,REGULAR,\N,\N,GUEST,Y
2022,5,TIZ,VIL,37,55,SEASON,REGULAR,\N,\N,HOME,Y
2022,5,CHA,SKY,37,28,SEASON,REGULAR,\N,\N,GUEST,Y
2022,5,ARR,SAL,35,27,SEASON,REGULAR,\N,\N,GUEST,Y
2022,6,GAN,GT,42,46,SEASON,REGULAR,\N,\N,HOME,Y
2022,6,ARR,VIL,17,39,SEASON,REGULAR,\N,\N,HOME,Y
2022,6,TIZ,COL,33,16,SEASON,REGULAR,\N,\N,GUEST,Y
2022,6,SKY,HAM,18,23,SEASON,REGULAR,\N,\N,HOME,Y
2022,6,SAL,PIR,24,29,SEASON,REGULAR,\N,\N,HOME,Y
2022,6,BRO,CHA,34,24,SEASON,REGULAR,\N,\N,GUEST,Y
2022,6,PAT,GUE,34,50,SEASON,REGULAR,\N,\N,HOME,Y
2022,6,GOA,TRO,35,38,SEASON,REGULAR,\N,\N,HOME,Y
2022,7,GOA,PIR,45,25,SEASON,REGULAR,\N,\N,GUEST,Y
2022,7,GT,SAL,22,21,SEASON,REGULAR,\N,\N,GUEST,Y
2022,7,VIL,SKY,43,20,SEASON,REGULAR,\N,\N,GUEST,Y
2022,7,HAM,ARR,26,52,SEASON,REGULAR,\N,\N,HOME,Y
2022,7,GAN,COL,33,28,SEASON,REGULAR,\N,\N,GUEST,Y
2022,7,TIZ,CHA,17,34,SEASON,REGULAR,\N,\N,HOME,Y
2022,7,TRO,PAT,24,48,SEASON,REGULAR,\N,\N,HOME,Y
2022,7,BRO,GUE,26,46,SEASON,REGULAR,\N,\N,HOME,Y
2022,8,BRO,SAL,10,63,SEASON,REGULAR,\N,\N,HOME,Y
2022,8,GUE,TRO,36,56,SEASON,REGULAR,\N,\N,HOME,Y
2022,8,CHA,GOA,25,46,SEASON,REGULAR,\N,\N,HOME,Y
2022,8,ARR,COL,49,36,SEASON,REGULAR,\N,\N,GUEST,Y
2022,8,SKY,PIR,20,45,SEASON,REGULAR,\N,\N,HOME,Y
2022,8,GAN,TIZ,35,43,SEASON,REGULAR,\N,\N,HOME,Y
2022,8,GT,HAM,35,45,SEASON,REGULAR,\N,\N,HOME,Y
2022,8,VIL,PAT,44,28,SEASON,REGULAR,\N,\N,GUEST,Y
2022,9,PAT,SAL,17,26,SEASON,REGULAR,\N,\N,HOME,Y
2022,9,ARR,TRO,41,53,SEASON,REGULAR,\N,\N,HOME,Y
2022,9,VIL,GUE,41,40,SEASON,REGULAR,\N,\N,GUEST,Y
